qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,570380,54645,625025
fc_a_001,ABD,5234,170,5404
fc_a_002,ABD,5296,164,5460
fc_a_003,A,3852,503,4355
fc_a_004,AD,8169,195,8364
fc_a_005,ABD,6881,214,7095
fc_a_006,A,4380,456,4836
fc_a_007,BD,7037,221,7258
fc_a_008,B,5804,984,6788
fc_a_009,AB,7674,175,7849
fc_a_010,A,3274,490,3764
fc_a_011,AB,5495,146,5641
fc_a_012,ACD,6402,187,6589
fc_a_013,A,4285,684,4969
fc_a_014,BC,6360,216,6576
fc_a_015,A,5911,1926,7837
fc_a_016,ABC,6280,162,6442
fc_a_017,ABD,6831,139,6970
fc_a_018,A,4149,757,4906
fc_a_019,AB,6890,132,7022
fc_a_020,AB,5344,129,5473
fin_a_001,AB,6923,307,7230
fin_a_002,ABD,9308,242,9550
fin_a_003,A,8079,523,8602
fin_a_004,ABD,9911,267,10178
fin_a_005,BD,7854,295,8149
fin_a_006,A,5745,1925,7670
fin_a_007,ABD,8350,145,8495
fin_a_008,B,7386,4145,11531
fin_a_009,ABC,6378,235,6613
fin_a_010,A,8838,750,9588
fin_a_011,ACD,9742,322,10064
fin_a_012,ABCD,8652,392,9044
fin_a_013,A,7933,715,8648
fin_a_014,AB,9761,264,10025
fin_a_015,A,8559,3910,12469
fin_a_016,ABD,8578,146,8724
fin_a_017,AC,10624,170,10794
fin_a_018,A,6823,589,7412
fin_a_019,AB,10285,169,10454
fin_a_020,AB,7281,225,7506
ins_a_001,B,4571,1979,6550
ins_a_002,A,3802,1662,5464
ins_a_003,A,4544,1841,6385
ins_a_004,A,5590,1231,6821
ins_a_005,ABCD,5691,146,5837
ins_a_006,C,4595,2651,7246
ins_a_007,BC,5653,202,5855
ins_a_008,AC,6112,199,6311
ins_a_009,C,5373,170,5543
ins_a_010,AB,6760,136,6896
ins_a_011,BC,5796,104,5900
ins_a_012,A,7270,104,7374
ins_a_013,A,4813,1018,5831
ins_a_014,ABD,7027,555,7582
ins_a_015,AB,6143,139,6282
ins_a_016,CD,6478,160,6638
ins_a_017,ABCD,5273,172,5445
ins_a_018,BCD,6140,212,6352
ins_a_019,ABCD,4992,134,5126
ins_a_020,A,5121,1823,6944
reg_a_001,ACD,3057,214,3271
reg_a_002,ABC,2644,158,2802
reg_a_003,B,2657,1191,3848
reg_a_004,ABC,3665,179,3844
reg_a_005,ABC,3303,241,3544
reg_a_006,A,2271,1694,3965
reg_a_007,ACD,3184,142,3326
reg_a_008,A,3285,862,4147
reg_a_009,ABD,4490,224,4714
reg_a_010,B,3145,923,4068
reg_a_011,ACD,3936,343,4279
reg_a_012,ABD,3018,173,3191
reg_a_013,A,2659,421,3080
reg_a_014,ABD,2741,131,2872
reg_a_015,C,1928,657,2585
reg_a_016,ABD,3264,170,3434
reg_a_017,ABC,3192,122,3314
reg_a_018,A,2757,318,3075
reg_a_019,ABD,3767,203,3970
reg_a_020,ABD,3267,170,3437
res_a_001,ABC,6540,146,6686
res_a_002,ABC,7627,155,7782
res_a_003,A,5897,1076,6973
res_a_004,ABC,6872,113,6985
res_a_005,ABC,6325,125,6450
res_a_006,B,5854,622,6476
res_a_007,ABC,5289,165,5454
res_a_008,A,4370,570,4940
res_a_009,ABC,5118,126,5244
res_a_010,A,4476,312,4788
res_a_011,BC,5167,165,5332
res_a_012,ABC,4557,130,4687
res_a_013,B,5575,557,6132
res_a_014,ABC,6040,156,6196
res_a_015,A,4637,573,5210
res_a_016,ACD,5997,162,6159
res_a_017,ABD,6117,171,6288
res_a_018,B,5947,2049,7996
res_a_019,AB,4527,140,4667
res_a_020,ABD,6916,172,7088
