qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,590629,18022,608651
fc_a_001,ABD,5234,161,5395
fc_a_002,ABD,5296,147,5443
fc_a_003,A,4136,76,4212
fc_a_004,A,7459,188,7647
fc_a_005,ABD,6881,110,6991
fc_a_006,A,4777,119,4896
fc_a_007,BD,7037,225,7262
fc_a_008,B,6265,167,6432
fc_a_009,ABD,6180,119,6299
fc_a_010,A,3682,97,3779
fc_a_011,AB,3987,115,4102
fc_a_012,ACD,7424,174,7598
fc_a_013,A,4612,173,4785
fc_a_014,B,6360,393,6753
fc_a_015,B,6431,99,6530
fc_a_016,ABC,6325,158,6483
fc_a_017,ABD,6831,137,6968
fc_a_018,A,4576,80,4656
fc_a_019,AB,6144,136,6280
fc_a_020,AB,5344,137,5481
fin_a_001,AB,6923,291,7214
fin_a_002,ABD,9308,270,9578
fin_a_003,A,8712,117,8829
fin_a_004,ABD,9911,319,10230
fin_a_005,ABD,7884,289,8173
fin_a_006,A,6058,170,6228
fin_a_007,ABD,8350,150,8500
fin_a_008,D,7797,170,7967
fin_a_009,ABC,6378,227,6605
fin_a_010,A,9292,81,9373
fin_a_011,ACD,9742,325,10067
fin_a_012,ABD,8652,367,9019
fin_a_013,A,8373,115,8488
fin_a_014,AB,9787,322,10109
fin_a_015,C,18012,371,18383
fin_a_016,ABD,8578,146,8724
fin_a_017,AC,9474,153,9627
fin_a_018,A,7194,192,7386
fin_a_019,AB,9521,155,9676
fin_a_020,AB,7281,215,7496
ins_a_001,B,5010,392,5402
ins_a_002,C,4148,365,4513
ins_a_003,A,5031,88,5119
ins_a_004,A,6142,107,6249
ins_a_005,ABCD,5691,189,5880
ins_a_006,A,5025,169,5194
ins_a_007,BC,4534,183,4717
ins_a_008,AC,6248,136,6384
ins_a_009,C,5373,180,5553
ins_a_010,AB,6760,157,6917
ins_a_011,BC,5796,127,5923
ins_a_012,A,7684,113,7797
ins_a_013,A,5339,139,5478
ins_a_014,ABD,7027,260,7287
ins_a_015,AB,6143,135,6278
ins_a_016,CD,6663,164,6827
ins_a_017,ABCD,5273,162,5435
ins_a_018,BCD,6140,230,6370
ins_a_019,ABCD,4992,113,5105
ins_a_020,C,11292,805,12097
reg_a_001,ACD,3057,237,3294
reg_a_002,ABC,2644,190,2834
reg_a_003,A,2875,98,2973
reg_a_004,ABC,3665,179,3844
reg_a_005,ABC,3303,242,3545
reg_a_006,A,2420,123,2543
reg_a_007,ACD,3184,142,3326
reg_a_008,A,3558,265,3823
reg_a_009,ABD,4618,225,4843
reg_a_010,A,3364,300,3664
reg_a_011,ACD,3936,343,4279
reg_a_012,ABD,3018,174,3192
reg_a_013,A,2827,110,2937
reg_a_014,ABD,2741,127,2868
reg_a_015,C,2060,163,2223
reg_a_016,ABD,3264,158,3422
reg_a_017,ABC,3192,148,3340
reg_a_018,A,2907,161,3068
reg_a_019,ABD,3767,224,3991
reg_a_020,ABD,3267,171,3438
res_a_001,ABC,6540,143,6683
res_a_002,ABC,7305,151,7456
res_a_003,A,6178,111,6289
res_a_004,ABC,6872,113,6985
res_a_005,ABC,6325,157,6482
res_a_006,A,6073,87,6160
res_a_007,ABC,4722,108,4830
res_a_008,A,4552,107,4659
res_a_009,ABC,5118,126,5244
res_a_010,A,4769,52,4821
res_a_011,BC,5167,156,5323
res_a_012,ABC,4557,129,4686
res_a_013,B,5802,162,5964
res_a_014,ABC,6040,136,6176
res_a_015,A,4832,134,4966
res_a_016,ACD,5997,162,6159
res_a_017,ABD,6117,154,6271
res_a_018,A,6034,71,6105
res_a_019,AB,4527,133,4660
res_a_020,ABD,6916,180,7096
