qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,581328,17412,598740
fc_a_001,ABD,5234,147,5381
fc_a_002,ABD,5296,158,5454
fc_a_003,A,4136,70,4206
fc_a_004,AD,8169,177,8346
fc_a_005,ABD,6881,128,7009
fc_a_006,A,4777,150,4927
fc_a_007,BD,7037,273,7310
fc_a_008,B,6265,144,6409
fc_a_009,ABD,7674,146,7820
fc_a_010,A,3682,95,3777
fc_a_011,AB,5495,115,5610
fc_a_012,ACD,6402,207,6609
fc_a_013,A,4612,173,4785
fc_a_014,B,6360,161,6521
fc_a_015,B,6431,99,6530
fc_a_016,ABC,5840,136,5976
fc_a_017,ABD,6831,137,6968
fc_a_018,A,4576,80,4656
fc_a_019,AB,6890,153,7043
fc_a_020,ABD,5344,156,5500
fin_a_001,AB,6923,293,7216
fin_a_002,ABD,9308,270,9578
fin_a_003,A,8712,117,8829
fin_a_004,ABD,9911,267,10178
fin_a_005,B,7854,307,8161
fin_a_006,A,6058,170,6228
fin_a_007,ABD,8350,145,8495
fin_a_008,D,7797,156,7953
fin_a_009,ABC,6378,227,6605
fin_a_010,A,9292,81,9373
fin_a_011,ACD,9742,321,10063
fin_a_012,ABD,8652,366,9018
fin_a_013,A,8373,114,8487
fin_a_014,AB,9761,268,10029
fin_a_015,C,8988,202,9190
fin_a_016,ABD,8578,146,8724
fin_a_017,AC,10624,175,10799
fin_a_018,A,7194,194,7388
fin_a_019,AB,10285,147,10432
fin_a_020,AB,7281,215,7496
ins_a_001,A,5010,380,5390
ins_a_002,A,4148,412,4560
ins_a_003,A,5031,92,5123
ins_a_004,A,6142,197,6339
ins_a_005,ABCD,5691,189,5880
ins_a_006,A,5025,249,5274
ins_a_007,BC,5653,144,5797
ins_a_008,ABC,6112,194,6306
ins_a_009,C,5373,162,5535
ins_a_010,AB,6760,157,6917
ins_a_011,BC,5796,92,5888
ins_a_012,A,7270,92,7362
ins_a_013,A,5339,133,5472
ins_a_014,ABD,7027,344,7371
ins_a_015,AB,6143,138,6281
ins_a_016,CD,6478,163,6641
ins_a_017,ABCD,5273,132,5405
ins_a_018,BCD,6140,211,6351
ins_a_019,ABCD,4992,227,5219
ins_a_020,D,5628,184,5812
reg_a_001,ACD,3057,237,3294
reg_a_002,ABC,2644,181,2825
reg_a_003,A,2875,84,2959
reg_a_004,ABC,3665,179,3844
reg_a_005,AC,3303,222,3525
reg_a_006,A,2420,124,2544
reg_a_007,ACD,3184,173,3357
reg_a_008,A,3558,296,3854
reg_a_009,ABD,4490,220,4710
reg_a_010,B,3364,278,3642
reg_a_011,ACD,3936,341,4277
reg_a_012,ABD,3018,173,3191
reg_a_013,A,2827,113,2940
reg_a_014,ABD,2741,146,2887
reg_a_015,C,2060,189,2249
reg_a_016,ABD,3264,177,3441
reg_a_017,ABC,3192,116,3308
reg_a_018,A,2907,155,3062
reg_a_019,ABD,3767,252,4019
reg_a_020,ABD,3267,171,3438
res_a_001,ABC,6540,156,6696
res_a_002,ABC,7627,152,7779
res_a_003,A,6178,112,6290
res_a_004,ABC,6872,113,6985
res_a_005,ABC,6325,124,6449
res_a_006,A,6073,114,6187
res_a_007,ABC,4722,125,4847
res_a_008,A,4552,130,4682
res_a_009,ABC,5118,126,5244
res_a_010,A,4769,66,4835
res_a_011,ABC,5167,159,5326
res_a_012,ABC,4557,151,4708
res_a_013,B,5802,110,5912
res_a_014,ABC,6040,121,6161
res_a_015,A,4832,134,4966
res_a_016,ACD,5997,162,6159
res_a_017,ABD,6117,166,6283
res_a_018,A,6034,71,6105
res_a_019,AB,4527,140,4667
res_a_020,ABCD,6916,175,7091
