qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,584407,53308,637715
fc_a_001,ABD,5421,162,5583
fc_a_002,ABD,5483,165,5648
fc_a_003,A,3852,299,4151
fc_a_004,AD,8356,185,8541
fc_a_005,ABD,7068,166,7234
fc_a_006,A,4380,381,4761
fc_a_007,BD,8475,261,8736
fc_a_008,B,5804,837,6641
fc_a_009,ABD,7861,114,7975
fc_a_010,A,3274,514,3788
fc_a_011,AB,5682,125,5807
fc_a_012,ACD,7605,224,7829
fc_a_013,A,4285,602,4887
fc_a_014,AB,6547,419,6966
fc_a_015,A,5911,1892,7803
fc_a_016,ABC,6027,144,6171
fc_a_017,ABD,7018,162,7180
fc_a_018,A,4149,518,4667
fc_a_019,AB,7077,145,7222
fc_a_020,AB,5531,158,5689
fin_a_001,AB,7136,290,7426
fin_a_002,ABD,9509,298,9807
fin_a_003,A,8091,490,8581
fin_a_004,ABD,10118,311,10429
fin_a_005,ABD,6988,314,7302
fin_a_006,B,5752,1334,7086
fin_a_007,ABD,8557,149,8706
fin_a_008,B,7404,3890,11294
fin_a_009,ABC,7001,227,7228
fin_a_010,A,8844,442,9286
fin_a_011,ACD,9942,353,10295
fin_a_012,ABD,8846,371,9217
fin_a_013,A,7951,505,8456
fin_a_014,AB,10401,370,10771
fin_a_015,A,8565,5949,14514
fin_a_016,ABD,8784,154,8938
fin_a_017,AC,10818,183,11001
fin_a_018,A,6837,865,7702
fin_a_019,AB,10486,150,10636
fin_a_020,AB,7475,224,7699
ins_a_001,B,4571,2546,7117
ins_a_002,A,3802,1677,5479
ins_a_003,A,4558,1493,6051
ins_a_004,A,5590,949,6539
ins_a_005,ABCD,5878,175,6053
ins_a_006,A,4609,1655,6264
ins_a_007,BC,5840,190,6030
ins_a_008,AC,6299,178,6477
ins_a_009,C,5560,180,5740
ins_a_010,AB,6947,146,7093
ins_a_011,BC,5983,91,6074
ins_a_012,A,7457,119,7576
ins_a_013,A,4813,862,5675
ins_a_014,ABD,7214,308,7522
ins_a_015,AB,6330,140,6470
ins_a_016,CD,7164,126,7290
ins_a_017,ABCD,5460,116,5576
ins_a_018,BCD,6348,207,6555
ins_a_019,ABCD,5179,233,5412
ins_a_020,D,5121,1897,7018
reg_a_001,ACD,3244,248,3492
reg_a_002,ABC,2831,210,3041
reg_a_003,B,2657,1170,3827
reg_a_004,ABC,3852,189,4041
reg_a_005,ABC,3490,328,3818
reg_a_006,A,2271,717,2988
reg_a_007,ACD,3371,142,3513
reg_a_008,A,3285,885,4170
reg_a_009,ABD,4677,227,4904
reg_a_010,B,3145,781,3926
reg_a_011,ACD,4123,359,4482
reg_a_012,ABD,3205,181,3386
reg_a_013,A,2659,285,2944
reg_a_014,ABD,2928,111,3039
reg_a_015,C,1928,661,2589
reg_a_016,ABD,3451,201,3652
reg_a_017,ABC,3379,161,3540
reg_a_018,A,2757,504,3261
reg_a_019,ABD,3954,252,4206
reg_a_020,ABD,3454,170,3624
res_a_001,ABC,6727,156,6883
res_a_002,ABC,7814,155,7969
res_a_003,A,5897,1055,6952
res_a_004,AB,7059,267,7326
res_a_005,ABC,6512,128,6640
res_a_006,B,5854,648,6502
res_a_007,ABC,4909,123,5032
res_a_008,A,4370,637,5007
res_a_009,ABC,5305,139,5444
res_a_010,A,4476,292,4768
res_a_011,BC,5354,139,5493
res_a_012,ABC,4744,122,4866
res_a_013,B,5575,494,6069
res_a_014,ABC,6227,119,6346
res_a_015,A,4637,573,5210
res_a_016,ACD,6184,216,6400
res_a_017,ABD,6304,174,6478
res_a_018,B,5947,2104,8051
res_a_019,AB,4714,139,4853
res_a_020,ABD,7103,216,7319
