qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,585436,17630,603066
fc_a_001,ABD,5234,161,5395
fc_a_002,ABD,5296,188,5484
fc_a_003,A,4136,70,4206
fc_a_004,A,7459,133,7592
fc_a_005,ABD,6881,126,7007
fc_a_006,A,4777,144,4921
fc_a_007,BD,7037,219,7256
fc_a_008,B,6265,146,6411
fc_a_009,ABD,6180,117,6297
fc_a_010,A,3682,89,3771
fc_a_011,AB,3987,119,4106
fc_a_012,ACD,6402,186,6588
fc_a_013,A,4612,108,4720
fc_a_014,AB,7094,448,7542
fc_a_015,B,6431,129,6560
fc_a_016,ABC,6325,104,6429
fc_a_017,ABD,6831,143,6974
fc_a_018,A,4576,74,4650
fc_a_019,AB,6144,139,6283
fc_a_020,ABD,5344,156,5500
fin_a_001,AB,6923,307,7230
fin_a_002,ABD,9308,335,9643
fin_a_003,A,8712,117,8829
fin_a_004,ABD,9911,301,10212
fin_a_005,AB,7884,344,8228
fin_a_006,A,6058,170,6228
fin_a_007,ABD,8350,149,8499
fin_a_008,D,7797,164,7961
fin_a_009,ABC,6378,227,6605
fin_a_010,A,9292,81,9373
fin_a_011,ACD,9742,331,10073
fin_a_012,ABCD,8652,372,9024
fin_a_013,A,8373,112,8485
fin_a_014,AB,9787,263,10050
fin_a_015,C,18012,455,18467
fin_a_016,ABD,8578,146,8724
fin_a_017,AC,9474,155,9629
fin_a_018,A,7194,182,7376
fin_a_019,AB,9521,182,9703
fin_a_020,AB,7281,213,7494
ins_a_001,C,5010,332,5342
ins_a_002,D,4148,420,4568
ins_a_003,A,4666,86,4752
ins_a_004,A,6142,196,6338
ins_a_005,ABCD,5691,190,5881
ins_a_006,A,5025,187,5212
ins_a_007,BC,4534,134,4668
ins_a_008,ABC,6248,151,6399
ins_a_009,C,5373,163,5536
ins_a_010,AB,6760,157,6917
ins_a_011,BC,5796,121,5917
ins_a_012,A,7684,116,7800
ins_a_013,A,5339,126,5465
ins_a_014,ABD,7027,344,7371
ins_a_015,AB,6143,128,6271
ins_a_016,CD,6663,165,6828
ins_a_017,ABCD,5273,166,5439
ins_a_018,BCD,6140,192,6332
ins_a_019,AC,5299,103,5402
ins_a_020,C,5628,235,5863
reg_a_001,ACD,3057,221,3278
reg_a_002,ABC,2644,159,2803
reg_a_003,A,2875,119,2994
reg_a_004,ABC,3665,179,3844
reg_a_005,ABC,3303,209,3512
reg_a_006,A,2420,92,2512
reg_a_007,ACD,3184,178,3362
reg_a_008,A,3558,292,3850
reg_a_009,ABD,4618,224,4842
reg_a_010,B,3364,292,3656
reg_a_011,ACD,3936,342,4278
reg_a_012,ABD,3018,174,3192
reg_a_013,A,2827,90,2917
reg_a_014,ABD,2741,149,2890
reg_a_015,C,2060,160,2220
reg_a_016,ABD,4081,192,4273
reg_a_017,ABC,3192,119,3311
reg_a_018,A,2907,163,3070
reg_a_019,ABD,3767,181,3948
reg_a_020,ABD,3267,170,3437
res_a_001,ABC,6540,146,6686
res_a_002,ABC,7305,111,7416
res_a_003,A,6178,111,6289
res_a_004,ABC,6872,121,6993
res_a_005,ABC,6325,113,6438
res_a_006,A,6073,80,6153
res_a_007,ABC,4722,135,4857
res_a_008,A,4552,118,4670
res_a_009,ABC,5118,127,5245
res_a_010,A,4769,62,4831
res_a_011,BC,5167,177,5344
res_a_012,ABC,4557,151,4708
res_a_013,B,5802,95,5897
res_a_014,ABC,6040,165,6205
res_a_015,A,4832,134,4966
res_a_016,ACD,5997,219,6216
res_a_017,ABD,6117,155,6272
res_a_018,A,6034,76,6110
res_a_019,AB,4527,140,4667
res_a_020,ABD,6916,172,7088
